EngineConfigID|EngineDesignationID|EngineVINID|ValvesID|EngineBaseID|EngineBlockID|EngineBoreStrokeID|FuelDeliveryConfigID|AspirationID|CylinderHeadTypeID|FuelTypeID|IgnitionSystemTypeID|EngineMfrID|EngineVersionID|PowerOutputID
7369|1|31|3|1880|582|470|3|5|7|5|6|21|41|1
7474|1|20|3|288|146|126|3|5|5|5|6|21|37|1
8212|1|41|3|288|146|126|3|5|5|7|6|21|37|1
8613|876|24|16|2362|922|1|1|6|4|6|4|27|50|1
12927|3471|29|3|396|183|161|3|5|7|7|6|11|8|1
13761|3599|39|7|17460|2553|172|81|6|7|6|6|11|49|263
13809|1|19|7|4244|1178|677|3|5|6|7|6|22|3|363
13919|1|1|16|4312|1238|1|259|1|4|18|4|4|50|1
14029|1|1|16|4422|1346|1|259|1|4|18|4|4|50|1
14042|1|1|16|4435|1359|1|259|1|4|18|4|4|50|1
14128|1|1|16|4521|1444|1|259|1|4|18|4|4|50|1
14192|1|1|16|4585|1507|1|259|1|4|18|4|4|50|1
14315|1|1|16|4708|1626|1|259|1|4|18|4|4|50|1
16873|4562|13|3|396|183|161|3|5|7|8|6|11|8|1
17012|1|1|16|5548|409|1|259|1|4|18|4|4|50|1
18163|4843|1|16|6037|2261|1215|1|6|4|6|4|479|50|1
18422|4483|29|5|4257|1187|171|3|5|6|5|6|21|83|286
18565|4945|1|5|2647|1075|604|272|6|4|6|3|94|50|1
18570|4950|1|5|2643|1074|603|272|6|4|6|3|94|50|1
18571|4951|1|5|2133|790|552|272|6|4|6|3|94|50|1
18666|3472|12|3|453|199|171|3|5|7|7|6|11|8|283
19038|5023|1|5|6186|2331|1275|272|12|4|6|3|479|50|1
20041|1|29|5|2146|801|559|258|6|6|5|6|22|74|368
20405|15364|1|5|2647|1075|604|259|1|4|8|4|94|50|1
20408|15366|1|16|2643|1074|603|1|6|4|6|4|482|50|1
20415|15372|1|5|2133|790|552|272|6|4|6|3|482|50|1
20416|15373|1|5|2647|1075|604|272|6|4|6|3|482|50|1
20955|5100|24|3|5920|2195|538|258|7|7|5|6|11|3|1481
21780|15538|29|5|4257|1187|171|3|5|6|7|6|21|83|1195
21781|15538|29|5|4257|1187|171|3|5|6|5|6|21|83|1195
22373|15604|1|14|17607|2623|444|4|5|7|5|5|35|3|1
22424|15613|1|3|2362|922|1|497|10|6|6|4|27|50|1
22574|4843|1|16|6037|2261|1215|1|6|4|6|3|479|50|1
23203|4843|1|16|6037|2261|1215|259|6|4|6|4|479|50|1
23784|1|42|5|17714|611|1246|258|9|6|30|6|65|3|1267
23867|15384|1|5|2133|790|552|505|6|4|6|3|94|50|1
23933|16020|1|11|17757|2752|1519|354|5|7|6|3|849|50|1
23967|16051|1|2|17771|2765|1530|324|6|7|6|3|658|50|1
24255|3534|1|3|3922|59|635|3|5|6|5|6|38|3|1128
24259|608|1|3|2564|1062|588|369|5|6|5|6|35|3|172
24260|4790|1|14|3878|214|627|369|5|5|5|6|38|3|86
24283|1|1|14|17798|2786|1|401|6|4|6|3|598|195|1
24350|16149|1|16|17818|2805|1557|1|5|4|5|4|971|50|228
25060|16327|1|3|17866|2|169|3|5|6|5|6|14|61|124
25100|16346|1|11|17915|2874|1615|354|5|7|6|3|806|50|1
25259|1|1|3|17878|2850|1590|2|5|7|5|6|22|3|1
25365|4843|1|16|6037|2261|1215|505|6|4|6|3|479|3|325
25367|4843|1|16|6037|2261|1215|505|6|4|6|3|479|3|353
25540|15363|1|5|17667|3114|1462|505|6|5|6|3|655|3|418
25541|15363|1|5|17667|3114|1462|505|6|5|6|3|655|3|1353
25658|16284|38|3|6292|2386|1295|3|7|7|5|6|21|41|1635
25773|16303|1|3|17899|1183|1605|3|5|5|5|6|1318|230|1105
25844|16639|1|5|2643|1074|603|272|6|7|6|3|94|50|1
26045|16722|1|14|3851|1083|614|3|5|5|5|6|55|179|1090
26132|16748|1|14|983|369|308|369|5|5|5|5|9|3|1103
26251|16791|1|3|18066|2991|1711|516|6|6|6|3|668|195|153
26764|1|1|5|2386|945|272|517|6|6|6|3|389|3|157
26786|17030|1|23|18102|3016|1734|20|5|7|5|4|678|50|1
27036|4843|1|16|6037|2261|1215|505|6|4|6|3|479|3|1353
27129|17102|1|21|18136|3041|1752|20|5|7|5|4|1593|50|1
27277|1|1|14|18074|2997|1717|541|5|5|6|3|55|176|1086
27663|17302|1|2|397|184|100|20|5|7|9|4|11|8|1
27672|17302|1|2|397|184|100|20|5|7|8|4|11|8|1
27743|15374|1|5|17628|2638|1453|505|6|7|6|3|482|3|1327
27797|17361|1|5|18200|2632|1777|505|6|5|6|3|481|3|180
27798|17362|1|5|18200|2632|1777|505|6|5|6|3|481|3|183
27808|17368|1|14|18203|3090|1792|489|5|7|6|3|43|3|1102
27809|17369|1|2|18204|3091|1395|505|6|5|6|3|43|3|133
28191|1|1|17|1133|409|350|140|1|3|32|3|1372|3|1340
28192|1|1|17|1133|409|350|140|1|3|32|3|1372|3|1362
